id;PRODUCTO;TIPO DE PRODUCCIÓN;TÍTULO;AUTOR;FUENTE;AÑO;IDIOMA;REFERENCIA APA;BASES DE DATOS;INGRESADO;ACCESO ABIERTO;INDEXADO;ENLACE
;Ponencia;;Hacia el reconocimiento de la labor traductológica de los franciscanos;Martha Lucía Pulido Correa;V Congreso Internacional de Traductores, Florianópolis - Brasil;2013;Español;;;;;No;
;Ponencia;;Las Maravillas de la naturaleza de Fray Juan de Santa Gertrudis : relatos de exploración misionera;Martha Lucía Pulido Correa;III Jornadas HISTRAD/Universidad de Alicante- Primer Simposium Internacional de Historia de la Lingüística, Literatura y Traducción Misioneras: Iberoamérica. España;2013;Español;;;;;No;
;Ponencia;;O trabalho de tradução dos franciscanos no território que hoje é chamado Colômbia;Martha Lucía Pulido Correa;ABRAPT Estudos da TRADUÇÃO E DIÁLOGO INTERDISCIPLINAR, Florianópolis.;2013;Portugués;;;;;No;
;Ponencia;;What is a translator;Martha Lucía Pulido Correa;Transferring Translation Studies. Amberes: Universidad de Lovaina en Amberes, Universidad de Utrecht;2013;Inglés;;;;;No;
;Ponencia;;Gabriel García Márquez y Álvaro Mutis: dos escrituras, dos geografías;Martha Lucía Pulido Correa;Estancia Investigativa Departamento de Traductores e Intérpretes. Amberes.;2013;Español;;;;;No;
;Ponencia;;English curriculum design in public schools in Medellin, Colombia: Teacher's perspective, experiences, and challenges;Ana María Sierra Piedrahita;Annual Meeting of the American Educational Research Association (AERA). Philadelphia.;2015;Inglés;;;;;No;
;Ponencia;;English teachers beliefs, practices, and challenges in curriculum development in Medellin public schools;Ana María Sierra Piedrahita;TESOL Colombia I: Innovations in Language Learning and Teaching. Chía.;2015;Inglés;;;;;No;
;Ponencia;;Teacher professional development: Whose endeavor?;Ana María Sierra Piedrahita;Jornada Pedagógica del Programa de Extensión. Medellín: Escuela de idiomas, Universidad de Antioquia;2015;Inglés;;;;;No;
;Ponencia;;Social justice language teacher education: Contributions to peace, construction in Colombia;Ana María Sierra Piedrahita;52nd ASOCOPI annual Congress, ELT Classroom Practices and the Construction of Peace and Social Justice. Cali: Pontificia Universidad Javeriana.;2017;Inglés;;;;;No;
;Ponencia;;A Critical Approach to Action Research in Teacher Education ;Paula Andrea Echeverri Sucerquia;Encuentro de Universidades Formadoras de Licenciados en Idiomas. Medellín;2011;Inglés;;;;;No;
;Ponencia;;A Critical Pedagogy Approach to ELT in Critical Times;Paula Andrea Echeverri Sucerquia;Academic Sessions 3: Creative Teachers-Binding Global Trends with Local Practices. Fundación Universitaria Luis Amigó, Medellín.;2011;Inglés;;;;;No;
;Ponencia;;[Critically] integrating pop culture in the language classroom;Paula Andrea Echeverri Sucerquia;Academic Sessions 7: Classroom and research experiences;2015;Inglés;;;;;No;
;Ponencia;;A National Survey of Professional Development Schools ;Paula Andrea Echeverri Sucerquia; American Educational Research Association Annual Meeting. San Diego, California.;2009;Inglés;;;;;No;
;Ponencia;;English curriculum design in public schools in Medellin: Teachers' beliefs and practices ;Paula Andrea Echeverri Sucerquia;VI Coloquio Internacional sobre Investigación en Lenguas Extranjeras;2014;Inglés;;;;;No;
;Ponencia;;Reflecting on critical pedagogy is Colombia's English classrooms: A process of self-transformation and collegial dialogue;Paula Andrea Echeverri Sucerquia; American Educational Studies Association annual conference. Seattle, Washington;2012;Inglés;;;;;No;
;Ponencia;;English teachers' beliefs, practices, and challenges in curriculum development in Medellin public schools;Paula Andrea Echeverri Sucerquia;TESOL Colombia. Universidad de la Sabana, Chía;2015;Inglés;;;;;No;
;Ponencia;;Pedagogía crítica como filosofía educativa en la enseñanza de lenguas extranjeras: La experiencia de una profesora de inglés en Colombia;Paula Andrea Echeverri Sucerquia;10th Annual International Congress for Critical Pedagogy and Transformative Leadership;2018;Español;;;;;No;
;Ponencia;;Lecture: Are you a Reflective Teacher? The Role of Theory in Language Teaching;Janeth María Ortiz Medina;17th English Language Teaching Conference  Tipo de evento: Congreso;2007;Inglés;;;;;No;
;Ponencia;;Research report: Learning English: An Experience of Identity Construction;Janeth María Ortiz Medina; X Encuentro de Universidades Formadoras de Licenciados en Idiomas y II Encuentro Nacional de Lenguas.;2014;Inglés;;;;;No;
;Ponencia;;Identity Construction in the Language Classroom;Janeth María Ortiz Medina;Jornada Pedagógica. Centro de Extensión, Escuela de Idiomas, Universidad de Antioquia;2014;Inglés;;;;;No;
;Ponencia;;Becoming Bilingual, Going Global: What about Learners¿ Identities and Culture? ;Janeth María Ortiz Medina; English Language Teaching Conference 2011;2011;Inglés;;;;;No;
;Ponencia;;Exploring Critical Reflection with Sixth Graders: A Unique Learning Experience;Janeth María Ortiz Medina; XI Encuentro de Universidades Formadoras de Licenciados en Idiomas y II ELT Conference;2016;Inglés;;;;;No;
;Ponencia;;Critical interculturality as possibility: public university educators interrogating their practices to capitalize on linguistic and sociocultural diversity in the English classroom and across disciplines;Janeth María Ortiz Medina; 54th Asocopi Annual Conference.;2019;Inglés;;;;;No;
;Ponencia;;La internacionalización de la educación superior y los estudiantes afro e indígenas: iniciativas desde la permanencia, la interculturalidad y el plurilingüismo;Janeth María Ortiz Medina; II Congreso Internacional Universidad y Colectivos Vulnerables;2019;Español;;;;;No;
;Ponencia;;Language Educators Rethinking Their Practices from a Critical Intercultural Perspective: Repositioning Students Languages, Identities, and Cultures in the English Classroom;Janeth María Ortiz Medina; Séptimo Seminario Internacional de Desarrollo Profesional de los Docentes de Lenguas Extranjeras: Diversidad Lingüística, formación inicial y permanente de profesores de lenguas extranjeras;2019;Inglés;;;;;No;
;Ponencia;;Searching for inclusive language policies and practices for indigenous students at times of English colonialism in higher education: A case from Colombia;Janeth María Ortiz Medina; Language Policy Forum 2018: Language Policy in the Age of Diversity: Dilemmas and Hopes.;2018;Inglés;;;;;No;
